userId,city,state,isTeacher,zipcode
0054e9da99c4cacc5b5facb72c11c831,Zionsville,Indiana,No,460
01776ab808cbe7bc6efbfffa2e088f3b,Cape Girardeau,Missouri,No,637
01fc8222dbaf46dae196ebecaaec5870,Abbeville,Louisiana,No,705
020568792bef8f98c635457133f850da,,Oklahoma,No,0
0237954de169fe98e4f5985d05bda01d,Bellerose,New York,No,114
02398c2183303e5db981f815f39dcafd,Silverton,Oregon,No,973
0312eaed848c7fb2b64c2a8d56703f71,Warwick,New York,No,109
037f46db2410997862025e939ca69925,Austin,Texas,No,787
03ad8977ed061246590e6f260a45e925,Soda Springs,Idaho,Yes,832
05352a107744b096a83e8ffcf778cd3d,New York,New York,No,100
065daf0ea51b8b5d1b1727c00195887b,Jackson,Mississippi,No,392
06a04a71ab1b804c46ec7a4809d2b760,Van Nuys,California,No,914
06ff831bfb1050ad8e7fb88616bcd911,Sandy,Utah,No,840
075dc010b4abe6f7abf5085d377e7a74,Clearfield,Utah,No,840
0813e1f18121c25340ff3c1523387cdf,Hot Springs National Park,Arkansas,No,719
08d24563965195df8561282601fa21dc,Oakland,California,No,946
096050ba2d721b21cc1d72239698e396,Chester,New Jersey,No,79
09e09faaffd8186f55d0966358abdff6,Climax,Michigan,No,490
09f6920582503cd167fa069125f6d52c,Watertown,Massachusetts,No,24
0a2c3a443010cef5bc4509ea9d54f2fa,,other,Yes,0
0be5b9c44a32cb316173fe7bdb800710,Brooklyn,New York,No,112
0d0beaa20d8ccaa51d6bf115a5cd6b88,Eutawville,South Carolina,No,290
0d3cd00f43ee43edf3c1d5729d663989,Lansdowne,Pennsylvania,No,190
0d50ce5aa72cd733e79acc0f49b3ec04,New York,New York,No,100
0d68e0f94a883b7fc96bf06d89ce5011,District Heights,California,No,207
0e179a7fa83c7500680ed00be72de40c,Charlotte,North Carolina,No,282
0fde6e06f54b8d15292af68b5e330662,Littleton,Massachusetts,No,14
0feced35d1b48f1d7b16017e7c815a34,,New York,No,0
1055588668659df19a67eb4c34fdce03,Stamford,Connecticut,No,69
1166ef0235fe08a5c8317152b6e29e00,Torrance,other,Yes,905
116eda8b22ddd17543634ebbf5a8a0c4,Milton Freewater,Oregon,No,978
1209fdb38c581fd49fead917330c1878,Colorado Springs,Colorado,No,809
1262b826efb7f839abb56cfb75551e5e,Minneapolis,Minnesota,No,554
12ee0207e7f3706602a89138ad9d6fd1,Chico,California,No,959
132fbfae473e83627c7c6cfdb1586811,Fairfield,Ohio,Yes,450
137665cbe637a833a3949f9c889f5709,Fremont,Nebraska,No,680
13ec69832bf596dce7d5b9953727e253,Corona,California,No,928
13faec492df7385e10c8d75bd4667f38,Alpharetta,Georgia,No,300
146f776eee7976f925afd40acad560e2,Chicago,Illinois,Yes,606
15e281f1a54409a5effa3122e2bb546a,Kalamazoo,Michigan,Yes,490
162cf8a4622f2ebe6c119a508c124122,Oakland,California,No,946
1662cc17b96ac2d1d6e9ec052dfda2f4,Tullahoma,Tennessee,No,373
16b3a7299d7aef257a4ad4652ca5ccf3,Los Angeles,California,No,900
16cc7e6d481e993c9b0ea085ec153eef,Atlanta,Georgia,No,303
173fa0625c22f2324bfb50c1d323693a,Stevenson Ranch,California,Yes,913
176903e3fbb2a61e2529425df1c4b471,Milan,Tennessee,No,383
178f378605bd18c995db205a4f6cc6e5,Ashtabula,Texas,No,440
1804f0f800e4f5c336603af3417211cd,Sarasota,Florida,Yes,342
181e5b9ee827753069f6511b913492df,Nellysford,Virginia,Yes,229
1875645b403c957097bb78bbef804a6a,Jacksonville,North Carolina,Yes,285
18ded8763c2e8a00f669952dbb2cf440,Waynesville,Georgia,Yes,315
1a98af9a7865c97bccd68ae909c151cf,Colorado Springs,Colorado,No,809
1b24af21c9b9968d393bd943bf92eb32,,other,Yes,0
1bace53acac45ab69a94625a6b3e21cc,New York,New York,No,100
1bc39132fbb2824c45064db4c15fa622,Glen Ellyn,Illinois,No,601
1c9890742d44b333621b9ce916e4a0f7,Philadelphia,Pennsylvania,No,191
1ce559ce327749a7154761f15ee1aeb3,Dallas,Texas,Yes,752
1d040b65ba90fd20f7e4be9e477351a2,Cincinnati,Ohio,No,452
1d7fa9f1585e58bf216a4a250ffae84d,Winchester,Arizona,No,226
1eb7721de5e1c764f1308c1fd531cf4e,Chapel Hill,North Carolina,Yes,275
1ebdc22511d75e5ba820e1e0b53fcd04,Indianapolis,Indiana,No,462
1f5c61fcf628ee20f7ecfb11a506f309,Corinth,Texas,No,762
207c8b0081da9a3806b2bdeb039c6adf,Portola Valley,California,No,940
20e23d4ac8ed5efac46dd227201950ea,Carmel,Indiana,No,460
21219280a570dbdf667095d1fc0a462f,,other,No,0
218cbfc18669b514cbc4951c393cc959,Birmingham,Alabama,No,352
2220011c7c464ef8668df7acdab6d4b1,Murrieta,California,No,925
2271312e1e22b2809fc33f6303e67234,Mobile,Alabama,No,366
22800bcee1812f72f0d7d2cf7a9b3265,Bakersfield,California,Yes,933
22a3d4f763bf42c190d73e78ce48d188,Whitsett,North Carolina,Yes,273
22d2b883cea9af4ec95b5d53bbefdbdd,,other,Yes,0
22d6d8c28c9bab7df5d848e415356757,Tulsa,Oklahoma,Yes,741
231e394c8ae9f720a89e065f973e91bc,Winston Salem,North Carolina,Yes,271
2381c266654c55fc74993bdbc5d9d14c,West Orange,New Jersey,No,70
244d917b4ee1e9915d2e382343e5d331,Palo Alto,California,No,943
244e16653951419403c66884a3bf01c6,Crescent City,California,Yes,955
24bfa1cb1b481a9f69ff6c4cab7d774f,South Portland,Maine,No,41
26376c37eb717d782608385c5bdd2897,Lake City,Minnesota,No,550
267e47120ee8ec2d08f60f6419b6a204,Woburn,Massachusetts,No,18
26c5ef8deab733bdb619c0bb88802684,,California,No,0
276d1ca8a09fd04220b76804fb0272ec,,other,Yes,0
29e66051a9d26bbafe7bda10c40e040f,Memphis,Tennessee,No,381
2a04d9f55f51705f49ef71f7b25df26e,,other,No,0
2b54cc0cdbadbd15b42cbb87dd94d319,Portland,Oregon,No,972
2bfb8e8149d750330f57ef5de16c1a86,,other,No,0
2d0c5f56cc43a7a70cf103a011d50121,North Reading,Massachusetts,No,18
2d773a3e0ed3278512ae3db4445ebc3b,Longmont,Colorado,No,805
2df00f0ed5911ed95169d6e8955b9b50,Oakland,California,No,946
2f3e3ffd24767142af3e07a70f5a466e,Clinton,New York,No,133
3035ee97715f3240bbcc54cc9eb98d84,El Segundo,California,No,902
3095825181ca103533a18f39df8bf5e5,Katy,Texas,Yes,774
30afbc9d938903fe8152933947ddffc6,Aiken,South Carolina,No,298
